AtomicNumber,AtomicMass,Electronegativity,IonizationEnergy,BoilingPoint,MeltingPoint,BondLength,CovalentRadius,VanDerWaalsRadius,ElectronAffinity,Density,HeatCapacity,OxidationState,Polarizability,DipoleMoment,RefractiveIndex,SurfaceTension,Viscosity,SolubilityWater,SolubilityEthanol,BandGap,LatticeEnergy,CrystalFieldStab,MolarVolume,Conductivity,ThermalConductivity,Hardness,ElasticModulus,PoissonRatio,WorkFunction,MagneticSusceptibility,SpinMultiplicity,SymmetryNumber,QuantumYield,pKa,pKb,DielectricConstant,RedoxPotential,FluorescenceWavelength,AbsorptionWavelength,EmissionWavelength,HalfLife,RateConstant,DiffusionCoeff,ActivationEnergy,ReactionEnthalpy,ReactionEntropy,ReactionGibbsEnergy,PartitionCoeff,LogP,TopologicalPolarSurfaceArea,RotatableBonds,HBA,HBD,FormalCharge,OxidationPotential,ReductionPotential,ElectronDensity,HOMO,LUMO,Class
4.53,5.2299999999999995,8.43,6.890000000000001,11.83,25.83,21.560000000000002,34.81,33.37,28.720000000000002,49.18,65.52,69.19,77.97,74.64,94.44,100.0,88.74,80.24,78.18,52.12,40.52,39.57,39.14,32.5,32.0,32.71,27.67,44.230000000000004,20.28,37.88,29.470000000000002,19.84,23.41,13.059999999999999,41.82,38.35,10.57,18.4,19.7,16.74,5.83,14.01,16.28,6.21,2.03,5.3,7.42,4.09,0.61,1.25,0.84,0.89,0.48,0.9400000000000001,1.91,1.4000000000000001,0.49,0.52,0.44,Biochemical
2.62,5.82,10.99,10.83,9.74,22.8,24.310000000000002,37.71,55.98,61.94,63.33,70.6,55.44,53.2,64.79,69.31,67.58999999999999,75.51,89.29,86.19,79.74,67.36999999999999,42.93,36.480000000000004,53.31,24.13,50.7,85.33,60.36,85.14,85.11999999999999,50.449999999999996,18.62,27.089999999999996,42.32,30.43,61.160000000000004,67.56,53.75,47.19,46.47,25.869999999999997,21.29,22.220000000000002,21.11,1.76,13.48,7.4399999999999995,1.3,1.06,0.33,2.32,1.66,0.95,1.7999999999999998,2.44,3.16,1.6400000000000001,0.95,0.7799999999999999,Organic
1.0,1.71,6.23,2.0500000000000003,2.0500000000000003,3.6799999999999997,10.979999999999999,12.76,5.9799999999999995,12.64,8.81,19.919999999999998,1.8399999999999999,22.61,17.29,21.310000000000002,6.93,22.81,40.6,39.73,27.41,36.9,55.559999999999995,48.46,31.4,53.339999999999996,52.559999999999995,25.2,20.9,35.589999999999996,62.6,73.4,61.199999999999996,34.97,39.53,30.12,54.08,88.14,98.57000000000001,91.67,61.21,50.06,32.1,32.019999999999996,42.95,36.54,26.55,15.76,6.81,2.94,2.41,1.21,0.36,1.5,0.8500000000000001,0.73,0.5,0.44,0.4,1.17,Polymer
7.62,6.660000000000001,4.81,3.94,5.8999999999999995,6.49,12.09,24.67,35.64,44.59,41.52,39.519999999999996,42.559999999999995,41.349999999999994,45.28,53.26,73.06,61.92999999999999,20.32,46.36,41.48,42.92,57.3,53.99,31.61,22.85,69.95,100.0,72.61999999999999,47.24,51.03,54.59,28.810000000000002,9.81,19.509999999999998,41.81,46.04,32.17,28.28,24.3,19.79,24.44,18.47,8.41,6.92,5.28,3.5700000000000003,0.8500000000000001,2.3,0.45999999999999996,1.5599999999999998,0.31,0.54,1.05,1.0999999999999999,0.15,0.72,0.48,1.0699999999999998,0.9400000000000001,Organic
2.86,4.53,2.77,1.7399999999999998,3.84,9.9,12.01,18.33,21.05,30.39,29.880000000000003,42.5,63.43,81.98,100.0,99.88,95.08,90.25,72.34,51.22,20.74,39.85,58.9,28.720000000000002,20.43,57.82000000000001,53.89000000000001,37.5,34.11,50.67,55.800000000000004,47.78,32.99,21.98,14.069999999999999,28.560000000000002,38.07,41.58,40.54,32.96,27.07,26.5,7.23,12.379999999999999,11.92,10.89,6.23,4.9399999999999995,2.64,0.8099999999999999,1.04,0.44999999999999996,0.13999999999999999,0.38,0.13,0.89,0.5700000000000001,0.27,0.51,0.62,Biochemical
3.17,9.56,13.209999999999999,14.08,16.74,17.1,7.31,14.01,20.830000000000002,35.13,17.86,6.58,5.13,37.519999999999996,54.190000000000005,54.400000000000006,51.5,42.620000000000005,20.24,42.33,77.23,97.35000000000001,93.89999999999999,55.589999999999996,52.68000000000001,68.26,57.13,54.290000000000006,21.77,21.490000000000002,58.10999999999999,63.23,29.65,18.73,29.69,51.629999999999995,61.529999999999994,42.83,54.790000000000006,61.33,50.17,23.77,19.57,17.49,13.04,5.970000000000001,11.24,10.47,5.07,1.59,1.95,2.01,2.48,1.31,0.7000000000000001,1.38,0.9199999999999999,1.43,0.36,1.03,Organic
5.19,5.48,8.42,3.19,11.58,9.22,10.27,6.13,14.649999999999999,28.38,28.02,30.86,26.57,38.01,56.26,43.76,26.169999999999998,11.99,66.75999999999999,94.02000000000001,78.32000000000001,53.52,68.08999999999999,91.74,76.13,82.19999999999999,88.72,60.91,29.67,11.03,13.18,6.239999999999999,9.9,40.06,36.66,10.5,19.15,39.300000000000004,42.88,25.46,11.51,21.959999999999997,18.790000000000003,14.37,21.46,23.599999999999998,11.25,2.54,2.85,1.78,0.52,0.8099999999999999,1.2,0.44999999999999996,1.21,0.97,0.8500000000000001,0.47000000000000003,0.48,0.53,Polymer
2.23,3.75,4.84,4.75,6.47,5.91,7.53,0.98,6.84,14.87,11.559999999999999,16.54,38.33,35.980000000000004,17.130000000000003,11.360000000000001,3.49,37.96,74.00999999999999,99.25,98.02,88.9,67.12,42.86,33.739999999999995,73.66,96.11,73.53,48.559999999999995,15.939999999999998,30.070000000000004,40.96,31.7,33.050000000000004,34.08,21.86,24.63,27.26,16.8,27.92,25.580000000000002,17.4,21.21,10.99,9.85,12.709999999999999,14.59,11.64,7.7700000000000005,4.390000000000001,0.61,1.4500000000000002,1.28,1.4500000000000002,0.58,0.49,0.65,0.9299999999999999,0.59,0.22,Organic
1.6400000000000001,1.73,3.47,0.7000000000000001,1.87,6.710000000000001,10.56,6.97,9.62,2.5100000000000002,8.01,10.56,12.659999999999998,8.9,1.9800000000000002,11.33,28.26,32.34,32.379999999999995,43.33,60.68,76.52,92.03,97.19,92.07,75.44999999999999,82.89,89.07000000000001,73.09,68.96,58.29,49.35,31.009999999999998,3.06,2.44,11.08,15.939999999999998,13.71,6.959999999999999,4.52,6.2,14.21,15.97,13.84,3.7199999999999998,6.88,8.67,5.13,0.9199999999999999,1.9800000000000002,1.18,0.8999999999999999,2.23,1.79,0.84,0.6799999999999999,0.32,0.35000000000000003,0.5599999999999999,0.4,Inorganic
0.38999999999999996,0.63,1.52,3.36,3.1,2.8400000000000003,3.9600000000000004,2.7199999999999998,3.2300000000000004,4.52,4.92,9.959999999999999,14.24,11.940000000000001,6.279999999999999,9.07,11.77,14.29,12.23,11.04,18.47,37.15,43.82,57.07,66.53999999999999,74.76,76.53999999999999,85.55,97.2,92.21000000000001,75.02,72.09,77.57,60.550000000000004,50.21,44.99,39.47,42.809999999999995,44.269999999999996,37.49,19.72,5.11,7.93,12.690000000000001,15.329999999999998,6.9,4.02,5.34,2.2800000000000002,0.73,0.62,0.62,1.2,0.52,0.5599999999999999,0.9299999999999999,0.42,0.03,0.53,0.36,Inorganic
